factor_id,date,holiday_flag,festival_flag,weather,competitor_spend,discount_percentage
EF544,2025-06-27,No,No,Cloudy,258951,15
EF545,2025-06-28,Yes,No,Rainy,168621,20
EF546,2025-06-29,No,No,Sunny,153895,15
EF547,2025-06-30,No,No,Rainy,405141,10
EF548,2025-07-01,No,No,Cloudy,552591,0
EF549,2025-07-02,No,No,Cloudy,513937,5
EF550,2025-07-03,No,No,Sunny,631080,20
EF551,2025-07-04,No,No,Rainy,501955,0
EF552,2025-07-05,No,No,Rainy,543137,20
EF553,2025-07-06,No,No,Rainy,451564,10
EF554,2025-07-07,No,No,Cloudy,665007,0
EF555,2025-07-08,No,No,Cloudy,658172,0
EF556,2025-07-09,No,No,Rainy,743190,10
EF557,2025-07-10,No,No,Rainy,734249,5
EF558,2025-07-11,No,No,Rainy,674246,0
EF559,2025-07-12,No,No,Rainy,564814,5
EF560,2025-07-13,Yes,No,Sunny,497677,0
EF561,2025-07-14,No,No,Cloudy,720291,0
EF562,2025-07-15,No,No,Sunny,514650,10
EF563,2025-07-16,No,No,Rainy,676313,0
EF564,2025-07-17,No,No,Rainy,618973,10
EF565,2025-07-18,Yes,No,Rainy,689151,5
EF566,2025-07-19,No,No,Rainy,644649,20
EF567,2025-07-20,No,No,Rainy,668198,10
EF568,2025-07-21,No,No,Rainy,779792,0
EF569,2025-07-22,No,No,Rainy,650901,5
EF570,2025-07-23,No,No,Cloudy,503554,0
EF571,2025-07-24,No,No,Rainy,580938,20
EF572,2025-07-25,No,No,Rainy,556202,15
EF573,2025-07-26,No,No,Cloudy,626785,5
EF574,2025-07-27,Yes,No,Rainy,509695,5
EF575,2025-07-28,No,No,Rainy,559758,15
EF576,2025-07-29,No,Yes,Cloudy,761676,30
EF577,2025-07-30,No,No,Cloudy,733269,5
EF578,2025-07-31,No,No,Sunny,498801,10
EF579,2025-08-01,No,No,Cloudy,767135,0
EF580,2025-08-02,No,No,Cloudy,511458,15
EF581,2025-08-03,No,No,Cloudy,645153,0
EF582,2025-08-04,No,No,Rainy,751323,5
EF583,2025-08-05,No,No,Cloudy,502466,20
EF584,2025-08-06,No,No,Rainy,753641,15
EF585,2025-08-07,No,No,Sunny,455413,0
EF586,2025-08-08,No,No,Cloudy,745549,15
EF587,2025-08-09,No,No,Sunny,455189,15
EF588,2025-08-10,No,No,Rainy,665155,0
EF589,2025-08-11,No,No,Rainy,560427,5
EF590,2025-08-12,No,No,Sunny,647074,15
EF591,2025-08-13,No,No,Rainy,627497,5
EF592,2025-08-14,No,No,Sunny,591045,20
EF593,2025-08-15,No,No,Cloudy,747535,20
EF594,2025-08-16,No,No,Rainy,525235,15
EF595,2025-08-17,No,No,Rainy,688726,10
EF596,2025-08-18,No,No,Rainy,527844,5
EF597,2025-08-19,No,No,Rainy,487181,5
EF598,2025-08-20,No,No,Rainy,469407,15
EF599,2025-08-21,No,No,Rainy,496788,5
EF600,2025-08-22,No,No,Rainy,565250,10
EF601,2025-08-23,No,No,Rainy,654771,15
EF602,2025-08-24,No,No,Rainy,606704,15
EF603,2025-08-25,No,No,Rainy,768276,20
EF604,2025-08-26,No,No,Rainy,691522,0
EF605,2025-08-27,No,Yes,Cloudy,681610,30
EF606,2025-08-28,No,No,Rainy,650777,10
EF607,2025-08-29,No,No,Rainy,595598,20
EF608,2025-08-30,No,No,Rainy,491941,15
EF609,2025-08-31,No,No,Sunny,712307,20
EF610,2025-09-01,No,No,Rainy,784884,10
EF611,2025-09-02,No,No,Sunny,567978,5
EF612,2025-09-03,Yes,No,Cloudy,704281,5
EF613,2025-09-04,No,No,Rainy,708754,15
EF614,2025-09-05,No,No,Cloudy,679507,20
EF615,2025-09-06,No,No,Rainy,592700,10
EF616,2025-09-07,No,No,Cloudy,634370,20
EF617,2025-09-08,No,No,Rainy,541234,15
EF618,2025-09-09,No,No,Cloudy,561496,15
EF619,2025-09-10,No,No,Rainy,733510,0
EF620,2025-09-11,No,No,Rainy,774911,15
EF621,2025-09-12,No,No,Cloudy,603730,10
EF622,2025-09-13,No,No,Cloudy,548474,10
EF623,2025-09-14,No,No,Sunny,667767,5
EF624,2025-09-15,No,No,Sunny,775422,20
EF625,2025-09-16,Yes,No,Cloudy,501023,10
EF626,2025-09-17,No,No,Rainy,657745,10
EF627,2025-09-18,No,No,Sunny,747953,0
EF628,2025-09-19,No,No,Rainy,646269,10
EF629,2025-09-20,No,No,Cloudy,636727,15
EF630,2025-09-21,No,No,Rainy,603742,15
EF631,2025-09-22,No,No,Cloudy,502489,0
EF632,2025-09-23,No,No,Rainy,740209,10
EF633,2025-09-24,No,No,Rainy,566399,20
EF634,2025-09-25,No,No,Cloudy,617783,15
EF635,2025-09-26,No,No,Cloudy,632465,5
EF636,2025-09-27,No,No,Cloudy,542393,5
EF637,2025-09-28,No,No,Sunny,466235,5
EF638,2025-09-29,No,No,Rainy,730333,15
EF639,2025-09-30,No,No,Cloudy,633211,15
EF640,2025-10-01,No,No,Sunny,752710,20
EF641,2025-10-02,No,No,Sunny,475919,5
EF642,2025-10-03,No,No,Cloudy,617687,5
EF643,2025-10-04,No,No,Rainy,637834,5
EF644,2025-10-05,No,No,Sunny,530936,15
EF645,2025-10-06,No,No,Rainy,661538,0
EF646,2025-10-07,No,No,Sunny,645667,15
EF647,2025-10-08,No,No,Sunny,703733,20
EF648,2025-10-09,No,No,Sunny,695051,10
EF649,2025-10-10,No,Yes,Sunny,659888,40
EF650,2025-10-11,No,No,Cloudy,514131,20
EF651,2025-10-12,Yes,No,Sunny,795112,0
EF652,2025-10-13,No,No,Sunny,744779,20
EF653,2025-10-14,No,No,Rainy,549894,20
EF654,2025-10-15,No,No,Sunny,770104,10
EF655,2025-10-16,No,No,Sunny,661200,10
EF656,2025-10-17,No,No,Sunny,706027,5
EF657,2025-10-18,Yes,No,Cloudy,739154,10
EF658,2025-10-19,No,No,Sunny,570466,0
EF659,2025-10-20,No,Yes,Sunny,527502,30
EF660,2025-10-21,No,Yes,Sunny,597038,35
EF661,2025-10-22,No,Yes,Sunny,657566,30
EF662,2025-10-23,No,No,Sunny,521994,15
EF663,2025-10-24,No,No,Cloudy,649295,15
EF664,2025-10-25,No,No,Cloudy,455645,20
EF665,2025-10-26,No,No,Sunny,463013,15
EF666,2025-10-27,No,No,Sunny,602589,5
EF667,2025-10-28,No,No,Sunny,589392,15
EF668,2025-10-29,No,Yes,Sunny,593686,25
EF669,2025-10-30,No,No,Rainy,703039,0
EF670,2025-10-31,Yes,No,Sunny,564341,20
EF671,2025-11-01,No,No,Cloudy,586341,15
EF672,2025-11-02,No,No,Sunny,721584,15
EF673,2025-11-03,No,Yes,Cloudy,660441,40
EF674,2025-11-04,No,No,Sunny,648773,5
EF675,2025-11-05,No,No,Sunny,570734,5
EF676,2025-11-06,No,No,Cloudy,766064,10
EF677,2025-11-07,No,Yes,Sunny,503341,35
EF678,2025-11-08,No,No,Cloudy,596445,10
EF679,2025-11-09,No,No,Sunny,774874,0
EF680,2025-11-10,No,Yes,Cloudy,697971,35
EF681,2025-11-11,No,Yes,Sunny,591399,40
EF682,2025-11-12,No,Yes,Sunny,757189,25
EF683,2025-11-13,No,No,Sunny,787324,10
EF684,2025-11-14,No,No,Cloudy,510227,20
EF685,2025-11-15,No,No,Rainy,539591,5
EF686,2025-11-16,No,No,Sunny,501064,15
EF687,2025-11-17,No,No,Sunny,681883,5
EF688,2025-11-18,Yes,No,Sunny,591413,5
EF689,2025-11-19,No,No,Rainy,581475,5
EF690,2025-11-20,No,No,Sunny,657111,5
EF691,2025-11-21,No,No,Sunny,637445,10
EF692,2025-11-22,No,Yes,Sunny,773555,20
EF693,2025-11-23,No,No,Sunny,607597,10
EF694,2025-11-24,No,No,Sunny,626598,20
EF695,2025-11-25,No,No,Rainy,613403,0
EF696,2025-11-26,No,No,Rainy,773699,10
EF697,2025-11-27,No,No,Cloudy,738040,15
EF698,2025-11-28,No,No,Cloudy,722858,15
EF699,2025-11-29,No,Yes,Sunny,769876,20
EF700,2025-11-30,No,Yes,Cloudy,682918,20
EF701,2025-12-01,No,No,Sunny,698157,0
EF702,2025-12-02,No,No,Cloudy,516434,5
EF703,2025-12-03,No,No,Cloudy,621465,10
EF704,2025-12-04,No,Yes,Sunny,740626,25
EF705,2025-12-05,No,Yes,Rainy,646314,30
EF706,2025-12-06,No,No,Sunny,636149,10
EF707,2025-12-07,No,No,Sunny,715134,15
EF708,2025-12-08,No,No,Sunny,615167,5
EF709,2025-12-09,No,No,Sunny,790499,5
EF710,2025-12-10,No,No,Sunny,577259,10
EF711,2025-12-11,No,No,Sunny,633021,10
EF712,2025-12-12,No,No,Sunny,477600,10
EF713,2025-12-13,No,No,Sunny,719278,10
EF714,2025-12-14,No,No,Sunny,452329,15
EF715,2025-12-15,No,No,Sunny,512071,10
EF716,2025-12-16,No,No,Cloudy,589993,15
EF717,2025-12-17,No,No,Sunny,691225,0
EF718,2025-12-18,No,No,Cloudy,454003,5
EF719,2025-12-19,No,No,Sunny,731183,15
EF720,2025-12-20,No,No,Sunny,794930,10
EF721,2025-12-21,No,No,Sunny,509758,20
EF722,2025-12-22,No,No,Cloudy,452052,15
EF723,2025-12-23,No,No,Sunny,783688,5
EF724,2025-12-24,No,No,Cloudy,581493,10
EF725,2025-12-25,No,Yes,Sunny,665326,20
EF726,2025-12-26,No,No,Cloudy,711998,10
EF727,2025-12-27,No,No,Sunny,570133,5
EF728,2025-12-28,No,Yes,Cloudy,764081,20
EF729,2025-12-29,No,No,Sunny,627513,5
EF730,2025-12-30,No,No,Sunny,698232,20
EF731,2025-12-31,No,No,Sunny,594739,0
